Título del evento: El león Kandinga con Boniface Ofogo, Inicio: 2017-10-26 18:00:00.0, Finalización: 2017-10-26 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a982c686ebe0e510VgnVCM1000001d4a900aRCRD
Título del evento: El león Kandinga con Boniface Ofogo, Inicio: 2017-12-12 18:00:00.0, Finalización: 2017-12-12 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a205bc1fc431e510VgnVCM1000001d4a900aRCRD
Título del evento: El león Kandinga con Boniface Ofogo, Inicio: 2017-11-28 18:00:00.0, Finalización: 2017-11-28 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=765e21dc4131e510VgnVCM1000001d4a900aRCRD
Título del evento: El león Kandinga con Boniface Ofogo, Inicio: 2017-12-02 12:00:00.0, Finalización: 2017-12-02 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bbc0ab562631e510VgnVCM2000001f4a900aRCRD
Título del evento: El león Kandinga con Boniface Ofogo, Inicio: 2017-12-02 12:00:00.0, Finalización: 2017-12-02 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=cc6eab562631e510VgnVCM2000001f4a900aRCRD
Título del evento: El león Kandinga con Boniface Ofogo, Inicio: 2017-11-17 18:00:00.0, Finalización: 2017-11-17 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4697562d96e0e510VgnVCM1000001d4a900aRCRD
Título del evento: El león Kandinga con Boniface Ofogo, Inicio: 2017-10-25 18:00:00.0, Finalización: 2017-10-25 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5fc0b6008fe0e510VgnVCM1000001d4a900aRCRD
Título del evento: El león Kandinga con Boniface Ofogo, Inicio: 2017-11-14 18:00:00.0, Finalización: 2017-11-14 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4121bc1fc431e510VgnVCM1000001d4a900aRCRD
Título del evento: El león Kandinga con Boniface Ofogo, Inicio: 2017-11-29 18:00:00.0, Finalización: 2017-11-29 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5064562d96e0e510VgnVCM1000001d4a900aRCRD
Título del evento: El león Kandinga con Boniface Ofogo, Inicio: 2017-10-24 18:00:00.0, Finalización: 2017-10-24 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=538ec686ebe0e510VgnVCM1000001d4a900aRCRD
Título del evento: El león Kandinga con Boniface Ofogo, Inicio: 2017-12-05 18:00:00.0, Finalización: 2017-12-05 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b822562d96e0e510VgnVCM1000001d4a900aRCRD
Título del evento: El león Kandinga con Boniface Ofogo, Inicio: 2017-11-30 18:00:00.0, Finalización: 2017-11-30 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4a18bc1fc431e510VgnVCM1000001d4a900aRCRD
Título del evento: El pequeño país con Victoria, Inicio: 2017-11-16 18:00:00.0, Finalización: 2017-11-16 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=24f2c686ebe0e510VgnVCM1000001d4a900aRCRD
Título del evento: El pequeño país con Victoria, Inicio: 2017-10-26 18:00:00.0, Finalización: 2017-10-26 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=81d721dc4131e510VgnVCM1000001d4a900aRCRD
Título del evento: El pequeño país con Victoria, Inicio: 2017-11-14 18:00:00.0, Finalización: 2017-11-14 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=93dd21dc4131e510VgnVCM1000001d4a900aRCRD
Título del evento: El pequeño país con Victoria, Inicio: 2017-11-15 18:00:00.0, Finalización: 2017-11-15 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=caa6b6008fe0e510VgnVCM1000001d4a900aRCRD
Título del evento: El pequeño país con Victoria, Inicio: 2017-10-28 12:00:00.0, Finalización: 2017-10-28 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=802fab562631e510VgnVCM2000001f4a900aRCRD
Título del evento: El pequeño país con Victoria, Inicio: 2017-11-25 12:00:00.0, Finalización: 2017-11-25 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2e4fab562631e510VgnVCM2000001f4a900aRCRD
Título del evento: El pequeño país con Victoria, Inicio: 2017-11-23 18:00:00.0, Finalización: 2017-11-23 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8ca421dc4131e510VgnVCM1000001d4a900aRCRD
Título del evento: El pequeño país con Victoria, Inicio: 2017-11-17 18:00:00.0, Finalización: 2017-11-17 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=465098df8ed0e510VgnVCM1000001d4a900aRCRD
Título del evento: El pequeño país con Victoria, Inicio: 2017-12-16 12:00:00.0, Finalización: 2017-12-16 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2e01ab562631e510VgnVCM2000001f4a900aRCRD
Título del evento: El pequeño país con Victoria, Inicio: 2017-11-02 18:00:00.0, Finalización: 2017-11-02 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=736298df8ed0e510VgnVCM1000001d4a900aRCRD
Título del evento: El pequeño país con Victoria, Inicio: 2017-11-03 18:00:00.0, Finalización: 2017-11-03 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b797562d96e0e510VgnVCM1000001d4a900aRCRD
Título del evento: El pequeño país con Victoria, Inicio: 2017-12-14 18:00:00.0, Finalización: 2017-12-14 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d11598df8ed0e510VgnVCM1000001d4a900aRCRD
Título del evento: El pequeño país con Victoria, Inicio: 2017-12-12 18:00:00.0, Finalización: 2017-12-12 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=16c6bc1fc431e510VgnVCM1000001d4a900aRCRD
Título del evento: El pequeño país con Victoria, Inicio: 2017-12-13 18:00:00.0, Finalización: 2017-12-13 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=953fbc1fc431e510VgnVCM1000001d4a900aRCRD
Título del evento: Especial Día de Halloween, Inicio: 2017-10-31 18:00:00.0, Finalización: 2017-10-31 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2c5b7a206c9ae510VgnVCM1000001d4a900aRCRD
Título del evento: Especial Día de la Biblioteca, Inicio: 2017-10-24 18:00:00.0, Finalización: 2017-10-24 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a4aa7a206c9ae510VgnVCM1000001d4a900aRCRD
Título del evento: La casa de Tomasa y otras historias con Daniel Tornero, Inicio: 2017-11-29 18:00:00.0, Finalización: 2017-11-29 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bff0b6008fe0e510VgnVCM1000001d4a900aRCRD
